"pro_id";"pro_lib";"pro_descr";"pro_prix_achat";"pro_photo";"pro_stock";"pro_actif";"pro_s_rub_id"
"12";"Harley Benton Ukulele UK-11DW Brown";"Table laminée / Fond et éclisses en tilleul / Touche en Roseacer";"18.90";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/320760/15089265_800.jpg";"5";"1";"6"
"13";"Pearl EXX725BR/C Export Jet Black";"Série Export / Fûts en acajou asiatique/peuplier / Accastillage chromé";"758.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/320760/15089265_800.jpg";"5";"1";"7"
"14";"Millenium MX222BX Standard Set BK";"Pied droit de cymbale / Pédale de charleston / Pédale de grosse caisse";"248.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/156270/11461086_800.jpg";"5";"1";"7"
"15";"Millenium HD-120 E-Drum Set";"Pour débutants et enfants / Encombrement requis: 1000 x 600 mm / 12 kits de batterie";"222.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/461227/14367118_800.jpg";"5";"1";"8"
"16";"Millenium MPS-150 E-Drum Set";"Idéale pour les débutants / 108 sons / 10 kits de batterie";"258.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/360221/10083900_800.jpg";"5";"1";"8"
"17";"Zildjian 06 A-Custom Splash";"Finition: Brillante / Cymbale martelée à la main / Bronze";"95.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/128024/14013887_800.jpg";"5";"1";"9"
"18";"Zildjian 06 A-Series Splash";"Finition: Régulière / Cymbale martelée à la main / Bronze";"105.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/100883/10389887_800.jpg";"5";"1";"9"
"19";"Millenium 7A Drum Sticks Maple -Wood-";"En érable / Olives en bois / Ovale";"2.19";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/144009/1732818_800.jpg";"5";"1";"10"
"20";"Vic Firth 7AN American Classic Hickory";"En hickory américain / Longueur: 394 mm / Olives en nylon";"11.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/101813/13297521_800.jpg";"5";"1";"10"
"21";"LP 808Z 11 Quinto Galaxy BH";"Série Galaxy / En fibre de verre / Partie intérieure supérieure renforcée de fibre de kevlar";"666.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/172275/10411396_800.jpg";"5";"1";"11"
"22";"Thomann Latin Expert 12,5 Conga";"Fabriqué entièrement à la main / Construction classique type tonneau / Cercle et accastillage chromés";"199.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/441859/13668056_800.jpg";"5";"1";"11"
"23";"Yamaha PSR-SX900";"61 touches sensibles à la vélocité / Nouveau clavier FSB / 525 styles";"1890.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/471242/14616988_800.jpg";"5";"1";"12"
"24";"Startone MKR 61";"61 touches / 128 sons / 128 rythmes";"49.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/353537/9980986_800.jpg";"5";"1";"12"
"25";"Behringer DeepMind 12";"49 touches semi-lestées sensibles à la vélocité avec Aftertouch / 4 moteurs d'effets tc electronic et Klark Teknik / 3 générateurs ADSR";"699.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/402983/11710168_800.jpg";"5";"1";"13"
"26";"Sequential Pro 3 Special Edition";"Edition spéciale avec panneau de commande inclinable et garniture en noyer / Clavier 37 touches / 2 VCOs";"2199.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/482583/15274583_800.jpg";"5";"1";"13"
"27";"AKAI Professional MPK mini MK2 white";"25 mini-touches synth-action / Arpégiateur / Couleur: Blanc";"89.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/417635/12313797_800.jpg";"5";"1";"14"
"28";"AKAI Professional MPK Mini MK3";"25 touches miniatures sensibles à la vélocité / Arpégiateur / Sélecteur de 10 octaves";"99.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/498231/15420811_800.jpg";"5";"1";"14"
"29";"Thomann DP-26";"88 touches lestées / Mécanique à marteaux / 20 sons";"309.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/352258/14120887_800.jpg";"5";"1";"15"
"30";"Thomann SP-320";"88 touches semi-lestées sensibles à la vélocité / 12 sons / 12 morceaux de démonstration";"239.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/381525/11740155_800.jpg";"5";"1";"15"
"31";"Thomann DP-33 WH";"88 touches lestées sensibles à la vélocité / Mécanique à marteaux / 26 sonorités";"399.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/347195/9512041_800.jpg";"5";"1";"16"
"32";"Korg B2 SP Black";"88 touches / Mécanique à marteaux / 12 sons";"533.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/468703/14217257_800.jpg";"5";"1";"16"
"33";"Kawai GL 10 E/P Grand Piano";"Mécaniques ultra-réactives / Marteaux feutrés / Capot à fermeture sans bruit";"9799.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/371903/10395977_800.jpg";"5";"1";"17"
"34";"Startone Maja 48 Accordion Red";"26 touches de mélodie / 48 boutons de basse / 3 registres de mélodie";"398.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/232825/12879087_800.jpg";"5";"1";"18"
"35";"Focusrite Scarlett 2i2 3rd Gen";"Connexion USB-C / 2 préamplis micro Scarlett / Fonction Air commutable";"145.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/467950/14226632_800.jpg";"5";"1";"19"
"36";"Rode NT1-A Complete Vocal Recording";"Microphone rode NT1A / Suspension SM6 deluxe avec filtre anti-pop intégrée / 6 mètres de câble";"179.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/235937/11669583_800.jpg";"5";"1";"20"
"37";"Steinberg Cubase Artist 10.5";"Entier 32 bits et 64 bits flottante / 64 pistes audio et 128 pistes MIDI / 32 pistes instruments";"269.00";"https://thumbs.static-thomann.de/thumb/orig/pics/prod/451260.jpg";"5";"1";"21"
"38";"Zoom H1n";"Surface caoutchoutée / Couple de microphones X-Y / Haut-parleur intégré";"88.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/430079/12882282_800.jpg";"5";"1";"22"
"39";"beyerdynamic DT-770 Pro 250 Ohms";"Fermé / Dynamique / Circum-aural";"118.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/106864/9154081_800.jpg";"5";"1";"23"
"40";"Behringer WING";"40 entrées stéréo / 8 entrées auxiliaires stéréo / 8 sorties analogiques Midas Line";"2850.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/478472/14611348_800.jpg";"5";"1";"24"
"41";"Behringer EPS500MP3";"Jusqu'à 500W crête / Lecteur MP3 intégré via clé USB / Égaliseur 2 bandes pour tous les canaux";"344.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/308724/6598901_800.jpg";"5";"1";"25"
"42";"Behringer Xenyx X1622USB";"Faders de 60 mm / 4x entrées ligne stéréo / Faders de 60 mm";"175.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/243140/13760486_800.jpg";"5";"1";"26"
"43";"Swissonic SA 125";"Puissance: 120 Watt / 4x entrées niveau micro ou ligne / Entrée auxiliaire";"149.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/277370/12732067_800.jpg";"5";"1";"27"
"44";"Shure SM58 LC";"Version sans interrupteur marche/arrêt / Directivité: Cardioïde / Réponse en fréquence: 50 - 15.000 Hz";"98.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/105767/8805536_800.jpg";"5";"1";"28"
"45";"Millenium MS 2003";"Socle en fonte / Trépied pliable / Vis en métal au niveau de la rotule";"16.90";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/133136/13413261_800.jpg";"5";"1";"29"
"46";"the sssnake IPP1030";"Longueur: 3 m / Jack 6,3 mm - Jack 6,3 mm / Couleur: Noir";"3.44";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/128549/9507926_800.jpg";"5";"1";"30"
"47";"Stairville PAR 56 Active 300W DMX black";"Convient pour lampes de PAR56 de 300 Watt et douille GX16D / Boîtier professionnel en aluminium / Câble et fiche de sécurité";"59.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/394815/11855875_800.webp";"5";"1";"31"
"48";"Stairville LED Vintage Bowl 30 RGBA";"Élément de décoration pour les scènes, les clubs et les événements / Construction métallique robuste / Diamètre : 30 cm";"154.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/472343/15341222_800.jpg";"5";"1";"32"
"49";"Stairville AF-250 Fog Machine 1300W DMX";"Interface DMX-512 intégrée / Contrôlable avec n'importe quel contrôleur DMX-512 / Corps de chauffe: 1300 Watt";"149.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/340945/9584365_800.jpg";"5";"1";"33"
"50";"Stairville LED BossFx-1 Pro Bundle Comple";"Montage et démontage rapide / Une installation suspendue est possible avec le support de montage également fourni / Panneaux lumineux: 12x LEDs RVB de 9 Watt";"355.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/424577/14799741_800.jpg";"5";"1";"34"
"51";"Stairville Wild Wash 132 LED RGB";"Contrôle DMX / LED / Mélange de couleurs";"75.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/399664/11703403_800.jpg";"5";"1";"35"
"52";"Native Instruments Traktor S2 MK3";"EQ 3 bandes par canal / Boutons de sélection à la volée / Platines de précision de 14 cm";"248.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/447929/13624516_800.jpg";"5";"1";"36"
"53";"Numark NDX 500";"Lecture de CD mp3, CD audio et CR-R / Tempo master / Large molette de recherche";"219.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/350295/9517082_800.jpg";"5";"1";"37"
"54";"Pro-Ject Debut III matt black";"Entraînement de précision par courroie avec moteur synchrone / Nouveau support moteur en TPE / Tapis en feutre";"232.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/494994/15403492_800.jpg";"5";"1";"38"
"55";"Behringer DJX900USB";"5 canaux / Effets numériques 24 bits / Faders contrôlés par VCA";"205.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/259424/13819361_800.jpg";"5";"1";"39"
"56";"Serato DJ Pro";"Contrôle de 2 ou 4 plateaux numériques simultanément / Mode entrainement avec 2 plateaux pour préparer des sets sans matériel hardware / Contrôle simplifié avec interface utilisateur individuelle et conviviale 2 ou 4 plateaux";"120.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/404311/12941409_800.jpg";"5";"1";"40"
"57";"Boss RC-505";"Pour le live et le studio / Commande à la main / 5 pistes stéréo avec contrôles dédiés";"449.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/311795/12651821_800.jpg";"5";"1";"41"
"58";"Sennheiser HD-25";"Dynamique / Fermé / Oreillette droite pivotante";"111.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/379291/11041266_800.jpg";"5";"1";"42"
"59";"Gator G-112A Amp Transporter";"Caisse en contreplaqué / Revêtement extérieur en nylon / Rembourrage intérieur de 20 mm";"109.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/212416/13733646_800.jpg";"5";"1";"43"
"60";"Flyht Pro WP Safe Box 5 IP65";"En matière plastique résistante / Etanche à l'eau, la poussière et l'air / Poignée robuste";"58.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/330507/13763551_800.jpg";"5";"1";"44"
"61";"Millenium SD-180 B StudioDesk";"Table de travail spacieuse pour les studios d'enregistrement et de production / Plan de travail, étagères de moniteurs, tiroir pour clavier et panneau de base en panneau MDF plastifié / Tubes de raccordement en métal thermolaqué (couleur : noir)";"298.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/446802/13792401_800.jpg";"5";"1";"45"
"62";"Thomann Smartcart";"Roulement à billes / Capacité de charge max.: 100 kg / Couleur: Noir";"19.90";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/451162/13879781_800.jpg";"5";"1";"46"
"63";"Millenium Blue Wheel Bundle 100 mm";"Roulette pivotante avec frein / Diamètre de la roulette: 100 mm / Largeur de la roulette: 36 mm";"22.90";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/415294/12322322_800.jpg";"5";"1";"47"
"64";"Millenium MDT4 Drum Throne Round";"Assise ronde / Diamètre de l'assise: 280 mm / Couleur: Noir";"44.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/190868/15190888_800.jpg";"5";"1";"48"
"65";"Elacin Ear Protection Filter 25";"Filtre 25 dB / Filtre de remplacement / Une paire";"68.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/152823/11584739_800.jpg";"5";"1";"49"
"66";"Seiko WPM1000BE Metronome";"Bois / Marron / Avec cloche";"98.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/495112/15265913_800.jpg";"5";"1";"50"
"67";"Mollard S-Series 35cm Baton Pau Ferro";"Série S / Longueur: 35 cm / Tige blanche lisse";"30.00";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/176897/11033666_800.jpg";"5";"1";"51"
"68";"Knosti LP Cleaning Fluid";"Pour kit de nettoyage Knoti Clening Set / 1 litre";"15.70";"https://thumbs.static-thomann.de/thumb/orig/pics/bdb/179795/11567699_800.jpg";"5";"1";"52"
